,title,author,tags,summary,words,chapters,comment,kudos,bookmarks,hits
1053,What Was Your Name Again?,Ghostinthehouse,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Crowley and Aziraphale spend the night before term starts putting together their handouts for their course information,666.0,1,46,1057,13,5125
1054,an unauthorised testament,northerntrash,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“It’s not very angelic of me really,” Aziraphale said, and his hair was an absolute mess, curls sticking up in odd directions. Crowley reached out, to flatten some of them, but somehow his hand just ended up cupped around Aziraphale’s face instead. His skin was improbably soft, loose and warm, just the hint of cheekbone somewhere beneath.“I don’t think it is really very demonic either,” he replied.Missing scenes from the past, the present and the future.",26868.0,1,175,1057,407,13772
1055,Don't Play Hard To Get,watsons_and_warlocks,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Like most of your run of the mill 11-year-old antichrists, Adam Young is pretty perceptive. But he actually has the power to do something about Crowley and Aziraphale being idiots in love. The question is, what happens when everything goes back to the way it was?",1050.0,1,20,1056,85,6404
1056,"warrior, guardian",artenon,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Please.Crowley’s voice echoed in his head.Pleasewhat?Please more, please keep going, please make me come… please stop.No, Crowley hadn’t meant that. He hadn’tsaidthat. And yet Aziraphale could hear it, Crowley’s voice a soft whimper, begging him toplease stop.--Aziraphale is significantly stronger than Crowley. Crowley loves it, but Aziraphale's feelings on the matter are more complicated.",2938.0,1,82,1055,153,6366
1057,you hit the spot,weatheredlaw,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","“Why not?” Crowley asked. “S’my car, isn’t it?”“Yes, but it’s yourcar! You...you really want to—”“Make a mess of it?”or:they fuck in the bentley",3122.0,1,47,1055,160,9215
1058,The Holy Essence of Experience,Dragonsquill (dragonsquill),"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","“I could Fall,” he said, as if the statement had nothing to do with their conversation, “but they would destroy you.  Wouldn’t they?”Crowley swallowed.  Something in his chesthurt,even if he didn’t quite understand it.  Love, the angel said.  Was it?  Was that what all of…this…was?  This warmth?  “Yes.""----They know how they feel, but giving it a name would be too dangerous.  Ineffable husbands from the beginning to the end of the world, aware and wanting.",4714.0,1,112,1055,182,5858
1059,White Tide,HardlyFair,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","— West Indies. August, 1718 —“Lieutenant Robert Maynard is meant to find Blackbeard sometime soon. I was supposed to be part of a scouting trip. Bless them with good wind and a favourable tide.”“Right, what’d you scout?”Aziraphale sighed, presenting his bound wrists. “Pirates.”",12709.0,1,146,1054,227,9320
1060,each flower has wept and bowed towards the east,JustStandingHere,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Crowley gets invested in real estate. Aziraphale tries to vape his feelings away.,5673.0,1,138,1054,228,7013
1061,Snake Eyes,almy9306,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Aziraphale has a little bit of an obsession with Crowley's eyes.,1061.0,1,13,1053,74,6248
1062,Ineffably Yours,SecondHandNews,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","*** Part Four (The Final Part) Complete 5/4/2021 ****** Part Three Complete 30/9/2020 ****** Part Two Complete 17/12/2019 ****** Part One Complete 17/8/2019 ***It had been six thousand years, give or take, Aziraphale had stopped keeping count, it didn’t seem to matter now. Six thousand years he had wandered the Earth and he had taken in almost every sight, every sound, every taste. He had seen humans’ greatest evils and witnessed their truest joys, and yet it was still this fallen angel who taught him more than any other. If he had learned two things in the past six millennia it was that nobody was ever truly fallen, and those with the whitest wings could conceal the blackest souls.*An angel and a demon have been playing a six thousand year long game of the words not said. It’s funny, though, the truths that saving the world can unveil. With heaven announcing its plans to make up for Armageddon and with hell closing in, what will be the cost of protecting what they’ve found in each other?",112575.0,48,1367,1051,195,19554
1063,Principles of Proximity,Cannebady,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley's plan is to get through grad school in one piece and then live his bachelor dream life. With a less-than-wholesome upbringing and no real human ties to speak of, he's made a life for himself. It's just fine, actually. And he's fine too, while you're at it.Enter new roommate, Aziraphale, who just might teach him the benefits of putting down roots.",14184.0,1,59,1047,197,9476
1064,Apologies and epiphanies,CynSyn,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Good Omens']","After the trials in Heaven and Hell, Crowley fills in some missing information for Aziraphale.",4284.0,5,91,1047,100,11893
1065,Flashkick,for_autumn_i_am,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Are you sure it’s a good idea?” Crowley repeated, whispering wetly over Aziraphale’s neck.“I hope it’s bad,” he said, “so you’ll do it.”",5971.0,1,136,1046,175,8524
1066,what you feel is what you are,suzukiblu,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Nanny Ashtoreth and Brother Francis retire at the same time, without any warning or anything. Warlock doesn’t need a nanny anymore and it doesn’t matter who the gardener is, but . . .But they retire without any warning, and they don’t even say goodbye.Not to him, at least.",13853.0,1,64,1045,258,4275
1067,All The Fires of Hell,WanderingAlice,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","It is said that the fires of hell are hotter than any earthly flame. This is true. What is not said, but is also true, is that all demons remember the pain of when they were first cast into it. It was a pain that, no matter how hard he tried, Crowley was never able to forget. It was also only the second worst pain he had ever felt. The worst happened just hours before the apocalypse was set to begin.---Or, it takes almost losing him for Crowley to be able to confess just how much he cares about Aziraphale.",2637.0,1,21,1045,138,6963
1068,Many Years Away,cyankelpie,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","(An attack from Gabriel robs Aziraphale of the last 87 years of his memories. Crowley tries to fill him in, but he can't possibly be telling the truth.)“You don’t remember…” Crowley twisted something on his own hand. He wore a silver band on the same finger as Aziraphale’s gold one, which couldn’t possibly mean— “Hang on.” Crowley knelt in front of him and took his hand, and Aziraphale’s breath caught again. Crowley watched him cautiously, as if afraid he might spook the angel, and slid the gold ring off his hand. “Look inside,” he said, placing the ring in Aziraphale’s palm. “Might—jog something.”Trying to swallow, Aziraphale examined the ring. There was an inscription inside.Our side.The demon searched his face pleadingly. “You don’t remember any of that?”",15080.0,4,211,1041,191,7063
1069,(subject to change),acetheticallyy (judesstfrancis),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","It isn’t that anything bad is going to happen to him should he do it—quite the opposite, in fact. But something bad might happen to someone else, someone he rather cares for a great deal, and that’s the part that has him stuck.",3397.0,1,48,1041,91,8137
1070,No Bed of Roses,raiining,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Aziraphale saw what was going to happen a moment before Crowley did.,8204.0,1,107,1040,193,7511
1071,I Choose You,Ghostinthehouse,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","The last speaker, the Master of Ceremonies for the whole celebration, was, at last, winding up her speech.",666.0,1,193,1039,26,3733
1072,House Style,soft_october,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Since that's all settled, the real question is did he give you his number?” Anathema laughed. “He was looking at you the way you look at lunch.”“Forget lunch!” Michael declared. “He was looking at you the way you were looking at him!”Aziraphale is content in his job as an editor at Celestial Publishing, though he could go for a bit less of doing his boss' job for him. But everything goes a bit screwy when the CEO brings in a consultant with plans to build a program that will turn the entire editorial department on its head. If only he wasn't sohandsome",24274.0,6,530,1039,213,10458
1073,Snow Angel,Vagabond,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Human!AU. Aziraphale needs a date to his brother's Christmas party to avoid getting set up with someone. Anathema suggests Crowley, the office bad boy. They go, get snowed in, and have a heart-to-heart that ends in a Happy Christmas.From a prompt: Human!AU: Aziraphale needs a date for family Christmas. He invites the office rebel/bad boy, Crowley.",14372.0,1,79,1038,234,6633
1074,Safe in Your Arms,snoozingsnuffles,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Hastur decides to take his revenge on Crowley for stopping the apocalypse. And it's not pretty.Meanwhile, Aziraphale hasn't seen Crowley for over a week, and he can't help himself but be worried.",6038.0,5,98,1038,117,10136
1075,quicken to the new life,ImpishTubist,"['Harry Potter - J. K. Rowling', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Remus Lupin raises Harry Potter, with some help from a certain angel and demon.",8916.0,3,189,1037,217,6225
1076,The Complete Works of Poet A.J.,Watermelonsmellinfellon,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",In which the complete collection of one of Aziraphael's favourite poets is released and he drags Crowley out to get a limited edition copy.Surprise! Surprise! Crowley is the poet!,2703.0,2,54,1037,98,8445
1077,For Good,IneffablePenguin,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","The morning after their first time together. Wherein Aziraphale asks his demon to finally come home.[Includes illustration]{Part 2 of the 'Love, and Other Ineffable Things' series}'As they walked down the street Crowley reached out and took his hand, lacing their fingers together. “What?” he asked, as Aziraphale looked up at him in surprise.'",1078.0,1,47,1037,54,8514
1078,Soul of Soho,lyricwritesprose,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","People say there's a Saint of Soho.  Someone who looks out for the people who fall through the cracks.  This is the story of one young man's encounter, and what he made of it.",1605.0,1,98,1036,45,5267
1079,Original Sin Tartan,Vagabond,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley gets that temptation itch after the world is saved and turns up at a wedding in Edinburgh to have a little fun. Unfortunately for him, a certain angel is there to thwart him. Semi-publicly. With Crowley in a kilt.That's it. That's the plot.",5739.0,1,76,1036,192,8453
1080,Aziraphale Gets A Smartphone,Quandtuniverse,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","....Exactly what it says on the tin.Or: In which Crowley gives Aziraphale a smartphone, and rather than leaving it to gather dust in a corner, he actually puts it to use.",5239.0,3,203,1035,185,6106
1081,Home is where the plants are,Beginte,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","There's a plant by one of the windows. Aziraphale can't recall getting a plant. He's almost sure he didn't get a plant.-Or: they're enjoying the beginning of the rest of their lives and Crowley repeatedly distracts Aziraphale to prevent him from noticing that he's moving in, one plant and pair of skinny jeans at a time.",5537.0,1,109,1035,201,5249
1082,Gives Me Hot Cold Fever,HotCrossPigeon,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",In which Aziraphale discovers that the Serpent of Eden is venomous.And Crowley panics.,10458.0,2,233,1034,121,9502
1083,Is It Worth It Yet,sleepymccoy,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Around abouts the 1000AD mark, in what would become Turkey a few hundred years later, Crowley sat down, took a breath, and told Aziraphale how he feel in a total trainwreck of a conversation. Chapter 1, that conversation.Of course, Aziraphale would then expect Crowley to bring it all up again after the apocalypse, and when he doesn't he decides to take matters into his own hands and broach the topic himself. It doesn't go as well as he'd hoped. Good ending tho, don't worry guys",10939.0,4,241,1034,190,7454
1084,Caduceus,otherhawk,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Every other new moon since a serpent first slithered through Eden the demon Crowley has walked into the deepest circle of hell through a largely unknown portal in the side of a mountain in what is now known as North Wales.Every other new moon since the serpent first slithered through Eden the Archangel Raphael has walked into their brother’s private chambers and stood before the Throne.As with all ancient traditions there are formalities to be observed.“Hello, Luci. How are you feeling today?”",812.0,1,36,1034,192,5063
1085,The Other Shoe,PinkPenguinParade,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","""Did you..."" Aziraphale took a breath.  ""Did you have your sexuality turned on for that?""""'Course,"" Crowley said, nestling into the cushions.Aziraphale's silence got louder.",7779.0,2,99,1033,176,7872
1086,We Freely Love,Thestarvedghost (orphan_account),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","First there was God.She then made five Archangels; Lucifer, Michael, Uriel, Raphael and Gabriel. For a moment, there was peace. And then there was Metatron, the Seraphim, Cherubs, and Thrones, Dominions, Virtues, and Principalities, and then all the other Angels, who were simply ‘Angels.’Raphael had looked around himself and said, “Huh, full house.”",2482.0,1,33,1032,124,6529
1087,Five Times Aziraphale Saved Crowley +1,DarkmoonSigel,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Five times in history that Aziraphale saved Crowley...and sex.,31026.0,6,148,1031,194,12800
1088,Sail Home To Me,Snakespell,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Captain Crowley, known as Black Viper, leads the most fearsome and successful pirate crew over all the seas. They take what they want gold, diamonds, and pearls, but Crowley has been searching for a particular treasure. After years of loneliness on his ship Eden, he's finally found what he's been looking for, enter scholar Aziraphale.Pirate Captain Crowley/Scholar Aziraphale",21284.0,5,293,1030,176,11238
1089,I have a lot of stories about being a kid because it was the last time I was interesting,FoxNinja,"['US Comedians RPF', 'American (US) Actor RPF', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'The Good Place (TV)', 'Super Mario & Related Fandoms', 'Super Mario Bros. (Video Games)']","John Mulaney is one of best comedians of all time, but why should be be limited to one universe? This is a John Mulaney AU where in each universe/fandom/something there is one character who eventually grows up to be John Mulaney.And the comedy bit that followsCurrent Au: mario!Mulaney",8488.0,7,185,1029,197,7187
1090,Of Truths And Other Absurd Notions,WaitingToBeBroken,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley is hit with a curse that makes it very deadly not to Tell the Truth. Which, considering the fact he is a demon and has been hiding a particular secret from a particular angel for 6 thousand years, is not ideal.The way Aziraphale is fretting over him andtouchinghim is really not helping.",10242.0,2,82,1028,179,7091
1091,Color Theory,racketghost,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“You can turn back now, Crowley,” the angel is saying, his hands clasped in front of him.Why?Is the echo of his human tongue in his head, a slow, persistent voice drawing up from the darkness,did you finally realize that I’m a monster?",8537.0,1,199,1027,69,6809
1092,I Don't Think You Could Do The Wrong Thing,Ghostinthehouse,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","The student pseudo knight turned up at Crowley's greenhouse a few days later, sober, and scarlet with embarrassment, and stammering first an apology, and then an even more hesitant request to learn the move Crowley had used on him.",666.0,1,58,1026,16,4890
1093,"and i just want to love you, to love you, to love you well",mygalfriday (BrinneyFriday),"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",He hadn’t been able to see Crowley’s face but the anguish in his voice had been enough of a clue all on its own. It’s been hours since then and Crowley has certainly managed to pull himself together admirably but Aziraphale hasn’t forgotten what Crowley sounded like when the demon had thought him lost for good. He doesn’t think he ever will.,3743.0,1,116,1025,235,4875
1094,End with Hope,PepperPrints,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","In 537 A.D., the Black Knight enters King Arthur's Tournament of Champions, with quite disastrous consequences, and Sir Aziraphale of the Round Table takes it upon himself to intervene -- which, naturally, also turns out to be quite disastrous in itself.",15888.0,1,136,1025,300,7696
1095,Keeping Up Appearances,IneffablePenguin,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Wherein Crowley has plans for the the future (and a question) that make him very, very nervous.[Includes an illustration]{Part 7 of the 'Love, and Other Ineffable Things' series}",2712.0,1,94,1025,52,9938
1096,Those Poor Houseplants,Issers,"['Lucifer (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","When Lucifer, Chloe and Trixie decide to let loose on a vacation in London they find a couple of unusual friends,At the same time in Hell, Hastur is working on his evil plan to avenge Ligur.",12946.0,12,142,1025,118,16793
1097,Without You,Milarca,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Crowley attempts to admit some feelings he has about Aziraphale. Of course Aziraphale already knows what he feels—or does he?,3489.0,1,40,1025,125,13705
1098,Reciprocity,childrenofthesun,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","The Archangel Gabriel discovers the Arrangement. He decides to strike up a deal of his own with Crowley - Gabriel can do whatever he wants to the demon, or he'll make Aziraphale Fall.Crowley accepts, because no way is he going to be the reason Aziraphale Falls, and really, Crowley's literally been through Hell, no torture the Archangel could throw at him would possibly come as a surprise.Except maybe this one.",30596.0,7,369,1024,159,18322
1099,Imagine Being Loved By Me,MacksDramaticShenanigans,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley’s eyes flutter shut and he pictures that it’s Aziraphale’s hand in his hair. Imagines that Aziraphale is there with him, touching his curls and his chest. Crowley drags his fingers through the downy hair smattering his chest, then continues down, grazing over the slightly concave curve of his stomach and past his belly button. Stopping at the elastic waistband of his boxers— designer, of course, versace, and the only clothing he still has on— fingers dipping beneath the fabric but not yet committing. Teasing.He lets out a shuddery breath, eyelids fluttering against his cheek.Crowley doesn’t give in to the aching desire to make that commitment yet. Instead he pulls his fingers from the waistband and lets his hand float back up his body to settle against his chest once more.He pinches a nipple. Rolls it between his fingers. Stutters out another hot breath. His hips twitch.Aziraphale’s name sits hot and heavy on the back of his tongue.",4232.0,1,105,1023,136,8113
1100,My Snake and Me,muzakchan,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Gabriel drops in on Aziraphale (and unbeknownst to him, Crowley) for a quick chat.",1482.0,1,60,1023,109,4971
1101,Proclivity,cal1brations,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","But Aziraphale, he's an angel. And he knows about love; knows how it works and how it manages despite all things, it seems. And he knows that every time he steps into Crowley's damned Bentley, with its pristine leather seats and the smell of new car despite the thing being far beyond old enough to retire were it human, it is an act of love that he will willingly repeat again and again, regardless of how he feels about cars or Crowley's terrible driving.",4412.0,1,37,1023,172,7945
1102,If You Don't Quit Running That Mouth of Yours...,orchidlocked,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Aziraphale's got a filthy mouth. He likes using it to make Crowley finish too soon. 5 times it worked + 1 bonus.,13665.0,6,101,1022,174,13858
1103,Of burnt books and courting Crowley,robynvite,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","On Newt and Anathema's engagement party, a year after Armageddon't, Aziraphale finds out two pieces of very startling news: One, Newt and Anathema burned the sequel to Agnes Nutter's Nice and Accurate Prophecies. Two, Crowley was in love with him, and had been since the Beginning. His reaction to one of these is to quietly figure out a game plan, and to subsequently calmly and determinedly execute that plan. His reaction to the other is to break a champagne glass with his bare hand.Part Two, Crowley's POV: https://archiveofourown.org/works/21532873/chapters/51329284",10841.0,5,168,1022,214,7086
1104,The Play's The Thing,volunteerfd,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)', 'Hamlet - Shakespeare']","“Who was at the very first rehearsal, hmm? Who read over Shakespeare’s shoulder as he put ink to parchment? If anything, I know Hamlet just as intimately as I know you.” Aziraphale picked up his teacup again and looked at Crowley over the rim of it. “Maybe even more.”Crowley was tempted to ask if he’d fucked Hamlet.****Aziraphale is cast as the lead in a community theatre production of Hamlet, a lifelong dream of his and a lifelong night terror of Crowley's. But, as the hapless Crowley helps him run lines, it becomes a mystery why anyone would let Aziraphale on stage. Tears are shed, skulls are crushed, monologues are butchered, and through it all, Crowley remains supportive. After all, the show must go on--even if it is the fifty billionth production of stupid, overrated Hamlet.",7270.0,2,189,1022,244,6823
1105,Dysfunctional Delusions,SinfulLuca,"['Lucifer (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Chloe really wishes some people weren’t allowed to have children.Specially after meeting Lucifer’s maybe brothers.,2040.0,1,15,1021,67,12585
1106,The Great Palm Tree of Sulking,obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","As a snake, Crowley is, interestingly, exceptionally long. Like a long-lived reticulated python, Crowley-as-a-snake could easily wrap around Aziraphale’s chest several times with length to spare.",708.0,1,26,1021,93,6504
1107,"Beware, Take Care",Guardian_Rose,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","The now unrestrained light was starting to hurt his eyes, waves of aching pain radiating through his head. And Aziraphale...Aziraphale was…“Fine, everything’s fine,” Aziraphale sputtered out at last, his grip on Crowley’s arms tight still and his expression manic. “You’re fine. I’m fine. Everything- everything is just- just fine.”“Angel? What just happened?”---Tumblr Anon Prompt response",1322.0,1,47,1021,68,9362
1108,Quite the Mouthful,hollybennett123,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","I suppose I should say thank you, Aziraphale had said, and he has a few ideas in mind now for how that could have played out had they not been all sensible about things.",1050.0,1,122,1020,93,6773
1109,Like Real People Do,EyesUpMarksman,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Maybe, somewhere in Heaven, there exist two separate lists. That’s what Aziraphale likes to imagine. Two lists, both very aptly named; Things That Angels Do Not Need To Do, and Things That Angels Should Definitely Not Do.Or, Aziraphale Wakes Up Having A Crisis About Sleeping With Crowley",2273.0,1,35,1020,114,7351
1110,Immune to Destructive Devices,obaewankenope (rexthranduil),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley looked at his desk, at the stain on the ground beside his throne from the water where it'd seeped into the stone. He couldn't wish away the stain, not with holy water. And not as a demon.But…washe still a demon?",5676.0,1,77,1019,193,5621
1111,Misuse of Miracles,sburbanite,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",Gabriel gets receipts for all the miracles Aziraphale has been performing since the Apocalypse that wasn't...none of which are safe for work.,1658.0,1,85,1018,104,6912
1112,All You Need is Love ... and Food,PurpleAlmonds,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Five meals that Aziraphale loved and one he didn't. (With one more bonus meal he loved.),8460.0,10,398,1017,215,8907
1113,Foolish Principality,WikdSushi,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Upon moving into a South Downs cottage, Crowley gets left alone while Aziraphale rushes to help the new proprietors of his bookshop.  Thanks to a miracle gone wrong, Crowley discovers Aziraphale's greatest material secret, and a few things neither of them could ever fully face.",6686.0,1,82,1017,155,6144
1114,"come on darling, let's be lovers",shoebox_addict,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“I love the waistcoat.”The man beamed at him. “Thank you. I know it’s a rather old-fashioned style, but it makes me feel put together for the day.”“Makes you look put together, too,” said Crowley, and nearly bit his own tongue. “I mean, that is...you always look very nice.”Now it was definitely not his imagination; the man’s eyes were practically twinkling.[Written for the Good AUmens Fest]",62734.0,12,944,1015,193,15087
1115,Aziraphale and the Desperate Priest,charliebrown1234,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Aziraphale is minding his own business chatting with Crowley when he is suddenly summoned away to a damp cellar. There, a priest improperly binds him and demands he perform miracles. It doesn't go well for either party, and Crowley is forced to rescue his angel.",4523.0,1,41,1014,75,8474
1116,Serpents and Pyramids,boredom,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Ever since he was young, Ezra Fell dreamed of adventure. He dreamed of far off destinations and dashing heroes. He dreamed of danger and excitement. He dreamed of exploration and romance. Now, as an adult, his life is much less exotic locales and much more boring political dinner parties with his fiancé, Gabriel Messenger. But a chance meeting with a literary agent might be his last chance at the adventure he sought as a child.Gabriel would surely support him.Right?And he could never fall for the brash and abrasive Mr. Anthony J. Crowley.Right?It was just one silly little trip to find a silly little amulet in Egypt.Right?",95821.0,34,1350,1009,205,22493
1117,Saccharine (not even a whisper),SharkbaitHooHaHa,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Contrary to popular belief, demonscanlove. They just can't tell.Crowley has been wanting to tell Aziraphale for thousands of years, but everytime he tries, the words turn into thick black oil in his throat. Even when they're finally together, even when he knows that Aziraphale understands, his inability to speak the words is pure torture.",15296.0,4,150,1008,163,8553
1118,Spirit Of Enquiry,Suzie_Shooter,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley has always recognised Aziraphale's weakness for the more sensuous earthly delights such as food, music and alcohol - and indeed the way he takes pleasure in sharing them with Crowley - so with hindsight it really shouldn't have come as such a surprise to him when Aziraphale suggested adding sex to the list.Crowley has one problem and one problem only with this suggestion - if they're sleeping together, can he go on hiding the fact he's in love with him?",6039.0,1,83,1006,177,6372
1119,Earthly Sensations,Lucifleur,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley drops by the book store with a sweet treat, which leads to things, including some discussions several thousand years in the making, which, in turn, lead to more things.""What’s the opposite of tainting? Of tempting? Do you want to take my cock like a benediction?”",5790.0,2,57,1006,111,11666
1120,Possession,summerofspock,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Six times. Aziraphale had come back to the bookshop six times smelling of someone else. Every single one had turned Crowley’s stomach and had made that dark thing curl even tighter in his gut.,3804.0,2,83,1005,110,10724
1121,Patience is Kind,OneofWebs,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Aziraphale is locked in the bedroom for the day, where Crowley can come and take him whenever he pleases, however he pleases, for as long as he pleases. Aziraphale, of course, is eager to please.",6679.0,1,52,1005,206,17486
1122,Preen Improper,FishingforCrows,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Crowley cares immensely about his appearance, Aziraphale is slightly less fastidious with his grooming. When the demon sees the state of his love’s wings, he decides something has to be done.",2612.0,1,28,1005,102,10634
1123,Cold-Blooded,vestigialstell,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Crowley’s lovers tell Aziraphale about what the demon is like in bed and Aziraphale becomes mildly obsessed.,5904.0,1,42,1005,146,7166
1124,You Believe Me?,Ghostinthehouse,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Cass stepped out of the main doors, turned to go down the path and almost tripped over a new first year hunched against the wall. ""Hey, you ok?"" they said, suddenly starkly aware of Dr Crowley saying the same thing to them two years before in exactly the same place.One-shot",666.0,1,32,1004,14,4984
1125,Rise and Fall,WorseOmens,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Satan has gone by many names in his life: Lucifer, the Morning Star, the Devil, The Great Dragon, Father of Evil... and most recently, one Anthony J Crowley -- and Aziraphale has no idea. Strangely, though, that might not even be the biggest problem on Crowley's plate right now.(Good Omens Crowley-is-Satan AU)",31556.0,8,323,1004,206,11904
1126,Bite The Hand,Anti_kate,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","It had been someone in hell’s idea of a joke, he suspected, down in the corporation department. Give the tempting snake demon aphrodisiac venom. And yes, he’d used it a few times, back when he’d been new to the world and what he could do in it. But it had been about as subtle as threatening to bash someone over the head with a brick if they didn’t sin, and frankly he thought it was unfair. So he’d just... not bitten anyone. Until now. When he’d accidentally bitten his best friend, and injected him full of venom. Lust venom.",4942.0,1,59,1004,122,6206
1127,"don't worry, i'll keep you warm",ahyperactivehero (ahyperactiverhero),"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Set shortly after Aziraphale opens his bookshop in the 1800s. Crowley gets drunk and the pub and decides that Aziraphale could use a gift and a visit from him. Too bad it's snowing and he's never done particularly well with the cold.Based on the h/c bingo I'm doing on my tumblr.,5406.0,1,28,1003,92,7831
